Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
704 - Itambe,"0,0005058645037","0,001345087245","0,0001991077362","0,001150122551","0,001221366163","0,0001784880418","0,002506265664"
315 - Itapejara D'oeste,"0,001760821115","0,003672428706","0,002313566614","0,00279465754","0,001269696481",0,"0,002506265664"
136 - Itaperucu,"0,0007167862984","0,0005220550303","0,002566204954","0,0005803209824","0,001615213223",0,"0,002506265664"
736 - Itauna do Sul,"0,0001028720726","0,0005054700017","0,0006750078664","0,0006574633486","0,0006362991505",0,"0,002506265664"
212 - Ivai,"0,0006521342693","0,002197080377","0,005343921078","0,004184973368","0,003005335247","0,00001015598003","0,002506265664"
650 - Ivaipora,"0,001323728532","0,001608954157","0,00285801203","0,005652431562","0,002155902398",0,"0,002506265664"
850 - Ivate,"0,0009303872403","0,0011646961","0,001489064742","0,001619989691","0,002058741449",0,"0,002506265664"
706 - Ivatuba,"0,0002698463633","0,0006825295115","0,0004674135709","0,0005785677468","0,0004749479348",0,"0,002506265664"
524 - Jaboti,"0,0001826058882","0,001322896751","0,001224022969","0,0009046695677","0,000695286153","0,0002428805841","0,002506265664"
501 - Jacarezinho,"0,002935475773","0,004894977016","0,00283777485","0,002044272705","0,00301268986","0,000976407098","0,002506265664"
617 - Jaguapita,"0,002292375657","0,003444631979","0,001204438601","0,00130966699","0,002389198744",0,"0,002506265664"
204 - Jaguariaiva,"0,00456324987","0,003273863646","0,002980087921","0,002827969017","0,007243093593","0,003470570148","0,002506265664"
643 - Jandaia do Sul,"0,001688581957","0,001559546562","0,00126515014","0,001888234737","0,0009456932334","0,0005919095629","0,002506265664"
815 - Janiopolis,"0,0005466301266","0,001616549211","0,001628113751","0,0021179086","0,001695363502",0,"0,002506265664"
525 - Japira,"0,0002406432547","0,001787336323","0,001416602582","0,001297394341","0,0009387388709","0,00148447626","0,002506265664"
831 - Japura,"0,0007550482576","0,00141830489","0,0006071153924","0,001961870632","0,0008275191027",0,"0,002506265664"
649 - Jardim Alegre,"0,0005556537275","0,001590955121","0,003363941524","0,002952448744","0,002079204285","0,000436823726","0,002506265664"
